;year;winter_cumulative_events;winter_cumulative_duration;winter_cumulative_deficit;winter_max_deficit;spring_cumulative_events;spring_cumulative_duration;spring_cumulative_deficit;spring_max_deficit;summer_cumulative_events;summer_cumulative_duration;summer_cumulative_deficit;summer_max_deficit;autumn_cumulative_events;autumn_cumulative_duration;autumn_cumulative_deficit;autumn_max_deficit
73;1974;0;0;0.0;0.0;3;53;5072.227945205476;178.53260273972603;2;24;1606.7824657534245;114.53260273972603;1;78;10228.543013698623;193.53260273972603
74;1975;0;0;0.0;0.0;0;0;0.0;0.0;2;18;429.58684931506855;61.53260273972603;1;157;17295.618630136993;193.53260273972603
75;1976;0;0;0.0;0.0;2;277;46388.53095890401;265.53260273972603;0;0;0.0;0.0;0;0;0.0;0.0
76;1977;0;0;0.0;0.0;0;0;0.0;0.0;3;67;6338.684383561641;175.53260273972603;1;13;490.9238356164384;66.53260273972603
77;1978;0;0;0.0;0.0;2;7;110.72821917808221;26.53260273972603;2;43;3386.9019178082185;182.53260273972603;2;24;1096.7824657534247;69.53260273972603
78;1979;1;31;1729.5106849315057;91.53260273972603;0;0;0.0;0.0;3;85;7834.2712328767075;162.53260273972603;1;28;1118.9128767123284;64.53260273972603
79;1980;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;3;37;1429.706301369863;61.53260273972603
80;1981;0;0;0.0;0.0;0;0;0.0;0.0;2;32;2348.0432876712316;136.53260273972603;4;13;95.9238356164384;20.53260273972603
81;1982;0;0;0.0;0.0;0;0;0.0;0.0;1;199;29222.9879452056;205.53260273972603;0;0;0.0;0.0
82;1983;1;14;924.4564383561644;96.53260273972603;0;0;0.0;0.0;1;61;9262.488767123283;234.53260273972603;1;154;25056.0208219179;213.53260273972603
83;1984;1;19;1416.1194520547942;109.53260273972603;2;25;795.3150684931508;66.53260273972603;1;52;4769.6953424657495;164.53260273972603;4;67;7269.68438356164;186.53260273972603
84;1985;1;61;5335.488767123283;164.53260273972603;2;8;263.26082191780824;50.53260273972603;2;64;7265.086575342462;213.53260273972603;1;123;17770.510136986322;205.53260273972603
85;1986;2;11;371.85863013698633;69.53260273972603;1;11;499.85863013698633;72.53260273972603;2;115;12652.249315068482;167.53260273972603;0;0;0.0;0.0
86;1987;2;46;3954.4997260273944;143.53260273972603;0;0;0.0;0.0;0;0;0.0;0.0;2;46;1749.4997260273958;66.53260273972603
87;1988;1;8;269.26082191780824;44.53260273972603;0;0;0.0;0.0;2;92;9811.999452054788;188.53260273972603;1;82;8671.673424657527;141.53260273972603
88;1989;0;0;0.0;0.0;0;0;0.0;0.0;1;171;28700.07506849327;241.53260273972603;0;0;0.0;0.0
89;1990;2;52;4376.695342465751;146.53260273972603;2;38;1817.238904109589;84.53260273972603;1;199;37660.98794520555;265.53260273972603;0;0;0.0;0.0
90;1991;2;95;8973.597260273966;180.53260273972603;1;131;18795.77095890412;222.53260273972603;0;0;0.0;0.0;1;134;28625.368767123386;251.53260273972603
91;1992;0;0;0.0;0.0;1;8;302.26082191780824;52.53260273972603;2;198;37557.45534246585;247.53260273972603;0;0;0.0;0.0
92;1993;3;29;2073.4454794520543;173.53260273972603;4;253;35866.74849315081;244.53260273972603;0;0;0.0;0.0;0;0;0.0;0.0
93;1994;0;0;0.0;0.0;0;0;0.0;0.0;1;187;25956.596712328883;240.53260273972603;0;0;0.0;0.0
94;1995;1;3;37.59780821917809;18.53260273972603;0;0;0.0;0.0;1;16;644.5216438356165;63.53260273972603;2;51;5459.162739726025;167.53260273972603
95;1996;2;31;1863.5106849315061;120.53260273972603;1;21;1896.1846575342456;132.53260273972603;2;18;796.5868493150685;86.53260273972603;6;60;2667.956164383561;104.53260273972603
96;1997;4;38;1133.2389041095892;65.53260273972603;0;0;0.0;0.0;1;50;5539.630136986299;175.53260273972603;1;124;19099.042739726046;203.53260273972603
97;1998;1;22;1668.7172602739715;114.53260273972603;3;158;25948.151232876786;236.53260273972603;0;0;0.0;0.0;1;2;40.06520547945206;27.53260273972603
98;1999;1;1;3.5326027397260304;3.5326027397260304;0;0;0.0;0.0;4;248;37673.08547945222;238.53260273972603;0;0;0.0;0.0
99;2000;1;6;462.1956164383562;101.53260273972603;0;0;0.0;0.0;1;275;48590.46575342462;227.53260273972603;0;0;0.0;0.0
100;2001;0;0;0.0;0.0;1;20;1360.6520547945202;103.53260273972603;2;113;12835.184109589034;174.53260273972603;1;28;2966.912876712327;127.53260273972603
101;2002;3;12;515.3912328767124;87.53260273972603;0;0;0.0;0.0;3;77;7969.010410958901;171.53260273972603;0;0;0.0;0.0
102;2003;0;0;0.0;0.0;1;21;943.1846575342466;98.53260273972603;2;238;49296.75945205476;263.53260273972603;0;0;0.0;0.0
103;2004;1;12;1204.3912328767124;148.53260273972603;2;27;1586.380273972603;97.53260273972603;2;162;29478.281643835715;246.53260273972603;0;0;0.0;0.0
104;2005;1;18;1351.5868493150683;122.53260273972603;0;0;0.0;0.0;3;86;9726.803835616432;198.53260273972603;1;113;15218.18410958903;198.53260273972603
105;2006;1;40;4357.3041095890385;166.53260273972603;2;13;488.9238356164384;67.53260273972603;2;47;5914.032328767122;227.53260273972603;1;90;13492.934246575334;231.53260273972603
106;2007;1;52;7575.6953424657495;186.53260273972603;1;156;23245.086027397345;214.53260273972603;0;0;0.0;0.0;2;37;3418.706301369862;151.53260273972603
107;2008;1;15;282.98904109589046;52.53260273972603;0;0;0.0;0.0;3;223;38825.77041095894;259.53260273972603;0;0;0.0;0.0
108;2009;1;56;7359.825753424653;186.53260273972603;0;0;0.0;0.0;3;156;21173.086027397247;249.53260273972603;0;0;0.0;0.0
109;2010;4;58;3441.8909589041077;99.53260273972603;0;0;0.0;0.0;2;32;3984.043287671231;217.53260273972603;2;6;207.19561643835618;64.53260273972603
110;2011;1;3;20.59780821917809;10.53260273972603;1;90;11717.934246575334;186.53260273972603;1;1;3.5326027397260304;3.5326027397260304;1;131;15028.770958904097;203.53260273972603
111;2012;0;0;0.0;0.0;3;18;225.58684931506855;30.53260273972603;2;225;33973.83561643846;222.53260273972603;0;0;0.0;0.0
112;2013;0;0;0.0;0.0;0;0;0.0;0.0;1;19;974.1194520547946;87.53260273972603;3;58;4606.890958904107;136.53260273972603
113;2014;5;164;14820.346849315056;177.53260273972603;0;0;0.0;0.0;1;99;16180.727671232868;228.53260273972603;1;14;754.4564383561644;87.53260273972603
114;2015;1;45;3166.967123287669;122.53260273972603;2;38;1260.238904109589;76.53260273972603;1;202;42436.585753424675;296.53260273972603;0;0;0.0;0.0
115;2016;2;55;4168.293150684928;153.53260273972603;1;253;35130.748493150815;269.53260273972603;0;0;0.0;0.0;0;0;0.0;0.0
116;2017;1;50;5307.630136986298;155.53260273972603;1;9;196.79342465753427;41.53260273972603;1;169;29346.00986301382;242.53260273972603;0;0;0.0;0.0
117;2018;3;7;41.72821917808221;13.53260273972603;3;145;29324.227397260336;303.53260273972603;0;0;0.0;0.0;4;135;34479.90136986309;308.53260273972603
118;2019;0;0;0.0;0.0;2;146;30101.76000000007;310.53260273972603;0;0;0.0;0.0;3;157;35098.6186301371;302.53260273972603
119;2020;0;0;0.0;0.0;1;87;16953.336438356167;268.53260273972603;2;104;20117.39068493154;271.53260273972603;1;5;133.66301369863015;41.53260273972603
120;2021;1;70;10819.282191780816;211.53260273972603;2;24;1186.7824657534245;108.53260273972603;4;36;3068.1736986301353;196.53260273972603;2;88;10236.869041095884;185.53260273972603
121;2022;1;54;6126.760547945201;183.53260273972603;3;275;45750.46575342468;292.53260273972603;0;0;0.0;0.0;0;0;0.0;0.0
122;2023;1;6;240.19561643835618;58.53260273972603;0;0;0.0;0.0;1;189;38384.66191780827;283.53260273972603;0;0;0.0;0.0
123;2024;1;2;21.06520547945206;14.53260273972603;1;60;5680.956164383558;182.53260273972603;1;96;17168.1298630137;248.53260273972603;1;44;3322.4345205479426;140.53260273972603
124;2025;0;0;0.0;0.0;1;145;24734.22739726032;302.53260273972603;1;44;11654.434520547942;313.53260273972603;0;0;0.0;0.0
