;ID;duration;time_deta;mean_deficit;max_deficit;sum_deficit;list_deficit;Qmin;start_date;start_year;start_month;max_date;max_month;end_date;Station;River
49;49;31;0;177.75412634408605;232.70416666666665;5510.377916666667;[167.0, 163.0, 187.0, 197.07500000000005, 202.0, 206.0, 195.0, 189.3458333333333, 195.94375000000014, 176.0, 156.0, 164.6875, 166.0, 177.0, 157.0, 184.0, 220.3687500000001, 217.0, 229.0, 219.32500000000005, 228.1500000000001, 232.70416666666665, 147.0, 138.0, 144.20000000000005, 169.75833333333344, 170.11249999999995, 140.08333333333337, 147.98749999999995, 118.15625, 105.48000000000002];802;1907-10-01;1907;10;1907-11-21;11;1907-11-01;6335050;RHINE RIVER
50;50;28;0;174.1732142857143;241.0;4876.85;[84.80000000000007, 80.2791666666667, 79.0625, 102.0, 116.76874999999995, 125.20000000000005, 123.79999999999995, 181.0, 213.0, 221.15625, 231.29375000000005, 235.57083333333344, 241.0, 234.0, 190.0, 127.0, 136.0, 137.0, 153.0, 167.0, 217.0, 216.0, 230.0, 225.88750000000005, 232.0, 232.0, 208.0, 137.03125];795;1907-11-01;1907;11;1907-12-11;12;1907-11-29;6335050;RHINE RIVER
51;51;8;3;158.60208333333335;211.0;1268.8166666666668;[80.0, 156.0, 211.0, 169.81666666666683, 204.0, 206.0, 156.0, 86.0];973;1907-12-02;1907;12;1907-12-12;12;1907-12-10;6335050;RHINE RIVER
52;52;25;25;348.4148333333334;512.0;8710.370833333334;[150.0, 323.2083333333335, 368.0, 392.0, 351.0, 276.00833333333344, 76.0, 146.0, 45.02500000000009, 130.0, 268.0, 330.0, 454.0, 442.0, 504.75, 414.0, 449.4375, 447.9416666666666, 478.0, 446.0, 406.0, 512.0, 493.0, 484.0, 324.0];880;1908-01-04;1908;1;1908-02-19;2;1908-01-29;6335050;RHINE RIVER
53;53;12;9;77.66666666666667;156.0;932.0;[50.0, 136.0, 120.0, 26.0, 24.0, 26.0, 50.0, 76.0, 130.0, 156.0, 130.0, 8.0];1250;1908-02-07;1908;2;1908-02-28;2;1908-02-19;6335050;RHINE RIVER
54;54;1;142;2.4500000000000455;2.4500000000000455;2.4500000000000455;[2.4500000000000455];1640;1908-07-10;1908;7;1908-07-11;7;1908-07-11;6335050;RHINE RIVER
55;55;5;2;25.612083333333338;36.143749999999955;128.0604166666667;[18.0, 28.033333333333303, 18.0, 36.143749999999955, 27.88333333333344];1470;1908-07-13;1908;7;1908-07-21;7;1908-07-18;6335050;RHINE RIVER
56;56;7;99;55.62541666666669;98.80000000000007;389.3779166666668;[25.75833333333344, 56.112499999999955, 51.08333333333337, 53.987499999999955, 48.15625, 55.48000000000002, 98.80000000000007];895;1908-10-25;1908;10;1908-11-06;11;1908-11-01;6335050;RHINE RIVER
57;57;26;0;230.38533653846156;351.0;5990.01875;[104.2791666666667, 127.0625, 145.0, 155.76874999999995, 163.20000000000005, 157.79999999999995, 195.0, 222.0, 235.15625, 240.29375000000005, 258.57083333333344, 269.0, 210.0, 247.0, 274.0, 314.0, 315.0, 339.0, 320.0, 351.0, 328.0, 323.0, 277.88750000000005, 232.0, 160.0, 26.0];733;1908-11-01;1908;11;1908-12-16;12;1908-11-27;6335050;RHINE RIVER
58;58;12;6;248.19513888888892;360.5250000000001;2978.341666666667;[94.0, 129.81666666666683, 172.0, 228.0, 263.0, 272.0, 313.0, 342.0, 360.5250000000001, 331.0, 323.0, 150.0];885;1908-12-03;1908;12;1908-12-23;12;1908-12-15;6335050;RHINE RIVER
59;59;12;5;187.4467013888889;243.98125000000005;2249.360416666667;[42.362499999999955, 122.0, 171.0562500000001, 170.45624999999995, 183.16875000000005, 214.21875, 222.51041666666674, 212.45000000000005, 243.98125000000005, 228.15625, 223.0, 216.0];904;1908-12-20;1908;12;1909-01-08;1;1909-01-01;6335050;RHINE RIVER
60;60;16;0;522.4493489583333;710.0;8359.189583333333;[292.0229166666668, 319.92499999999995, 417.0, 519.0, 551.2083333333335, 603.0, 579.0, 549.0, 561.0083333333334, 497.0, 631.0, 590.0250000000001, 676.0, 710.0, 600.0, 264.0];781;1909-01-01;1909;1;1909-01-30;1;1909-01-17;6335050;RHINE RIVER
61;61;6;9;245.66666666666666;388.0;1474.0;[88.0, 104.0, 194.0, 312.0, 388.0, 388.0];1020;1909-01-26;1909;1;1909-02-04;2;1909-02-01;6335050;RHINE RIVER
62;62;4;0;467.5;542.0;1870.0;[448.0, 492.0, 542.0, 388.0];934;1909-02-01;1909;2;1909-02-07;2;1909-02-05;6335050;RHINE RIVER
63;63;12;12;373.2947916666667;579.0;4479.5375;[40.0, 108.0, 165.73749999999995, 292.0, 356.70000000000005, 408.2520833333333, 456.29791666666665, 500.54999999999995, 540.0, 531.0, 579.0, 502.0];919;1909-02-17;1909;2;1909-03-10;3;1909-03-01;6335050;RHINE RIVER
64;64;22;0;615.9382575757576;769.2583333333334;13550.641666666666;[517.45, 579.0, 581.0, 594.25, 630.0, 710.0, 734.2333333333333, 736.4416666666666, 711.0, 769.2583333333334, 766.0, 762.0, 720.8583333333333, 669.0, 658.0, 630.0, 540.0, 512.0, 554.0250000000001, 550.125, 450.0, 176.0];776;1909-03-01;1909;3;1909-04-01;4;1909-03-23;6335050;RHINE RIVER
65;65;6;18;124.95277777777774;240.0;749.7166666666665;[17.533333333333303, 94.86458333333326, 168.0, 240.0, 170.71041666666656, 58.60833333333335];1390;1909-04-10;1909;4;1909-04-19;4;1909-04-16;6335050;RHINE RIVER
